startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
MIA,ATL,596.0,1866.0,605.2354190347763,1140.451469260014
MIA,BOS,1178.0,2671.0,114.89698466846393,1302.065913116372
MIA,CLT,652.0,1988.0,434.91188197241104,1033.5001370942866
MIA,DEN,1104.0,3187.0,396.0963827076742,2051.121326632395
MIA,DFW,501.0,2484.0,371.03056893800266,1359.6914768429015
MIA,DTW,1153.0,2241.0,205.75909698357847,1431.0638927660393
MIA,EWR,1104.0,2663.0,226.67010567305098,1254.0764118852921
MIA,IAD,923.0,2421.0,256.2727505435831,1181.2318623068081
MIA,JFK,1104.0,2663.0,185.89171041538475,1159.3740830823874
MIA,LAX,1952.0,3413.0,226.29801680451862,2495.758460702697
MIA,LGA,1104.0,2512.0,326.03051636005955,1265.8363018889925
MIA,OAK,2072.0,3556.0,357.7845380379323,3010.682767112554
MIA,ORD,1192.0,2619.0,303.11483039384905,1508.0491571266825
MIA,PHL,1016.0,2622.0,243.05180470431196,1238.4668448083082
MIA,SFO,2058.0,3958.0,476.2669783647803,3027.2429646383366
